"depth","yearDay","salinity","temperature","sigmaTheta"
"0","1",30.7145614162722,3.60062309305534,24.3731384706541
"5","1",30.758645008203,3.54913140820026,24.4114171517212
"10","1",30.7678787851653,3.60908472344861,24.4143380110379
"15","1",30.7758095156602,3.69858707692902,24.4153403968163
"20","1",30.8119821797381,3.8188153901278,24.4334530157941
"25","1",30.8383624153269,3.89547312596663,24.4454802700297
"30","1",30.8696738773623,3.98794172546319,24.4636658453512
"35","1",30.9155413212291,4.07402335796873,24.4941566269657
"40","1",31.0061546968745,4.17142496908483,24.5567307303629
"45","1",31.1456046551672,4.30307865974201,24.6596618866127
"50","1",31.2743559631013,4.28266566853064,24.7590699912003
"55","1",31.3992932591441,4.1340415537751,24.8721517259499
"60","1",31.549757977123,4.08090343531669,25.0027356233282
"65","1",31.7075216310168,4.01931323821361,25.1353733497798
"70","1",31.8751871196579,4.07218658950378,25.2622307436557
"75","1",32.0032622925753,4.02764493580793,25.376658651046
"80","1",32.1187624362793,3.98039531910499,25.4785879740664
"85","1",32.2292786769573,4.03655032929229,25.5638984138115
"90","1",32.3296500832848,4.15703798805445,25.639464600701
"95","1",32.4444158258471,4.23895103942007,25.7250075081789
"100","1",32.5491247182672,4.37201593851874,25.7967293230657
"105","1",32.6515899905663,4.51069493716761,25.8614676622055
"110","1",32.7460268431516,4.6492242074749,25.9199895065588
"115","1",32.8566613724071,4.84091276353721,25.9822998409568
"120","1",32.9571517194811,5.09569190992941,26.0356496505251
"125","1",33.0583754309273,5.32183543714613,26.0891887386474
"130","1",33.1629832473184,5.52437424236397,26.1440849945633
"135","1",33.2677799446324,5.81268908387855,26.1972524646189
"140","1",33.3758343767327,6.17551083657142,26.2524328626945
"145","1",33.4838412802469,6.37230293016684,26.3112932207292
"150","1",33.5506465097357,6.66138420486906,26.3412497684471
"0","2",30.7203383574159,3.49646859142974,24.3867133631863
"5","2",30.765317938883,3.44993867834743,24.4253878223632
"10","2",30.7742723994551,3.50987514376686,24.4279631386246
"15","2",30.7817953144858,3.6001308180914,24.4284623706758
"20","2",30.8175917452864,3.72099855779083,24.4462465228993
"25","2",30.8436250763152,3.79941916488667,24.4580404320394
"30","2",30.8750518543182,3.89479940227334,24.4761198274159
"35","2",30.9209160410166,3.98279891956507,24.5064455088707
"40","2",31.0103511528239,4.08357777235489,24.5680009551134
"45","2",31.1481087002109,4.21981424584365,24.6691631928086
"50","2",31.2756126019713,4.20850056853962,24.766964785542
"55","2",31.3996537321882,4.0730087076949,24.8783900764886
"60","2",31.5492830803929,4.02829053106024,25.0074797491501
"65","2",31.7055886600291,3.97618561761246,25.1381232693389
"70","2",31.8711656179117,4.03458597468593,25.2630544227521
"75","2",31.9985310904602,3.99638384708224,25.3761053445198
"80","2",32.1137270769831,3.9569664030965,25.4772104693848
"85","2",32.2237186917518,4.01640749020441,25.5619184724773
"90","2",32.3239684913137,4.1374807117385,25.6371326989708
"95","2",32.4383817554147,4.22364073723009,25.7219989467538
"100","2",32.5430832641856,4.35918696748156,25.7934699007772
"105","2",32.6457207727663,4.50044140761133,25.8582095587403
"110","2",32.7405838792929,4.64299940257355,25.916837998921
"115","2",32.8507055052621,4.83548297513177,25.9789246737002
"120","2",32.9508416327379,5.09042533772351,26.032139697666
"125","2",33.0517683584774,5.31864713710176,26.0855554440059
"130","2",33.1569877063929,5.52452725055979,26.1407150133585
"135","2",33.2625163845825,5.81372311082109,26.1942694769607
"140","2",33.3719158307243,6.17707734103259,26.2500479010562
"145","2",33.4818975150898,6.38058402610529,26.3097045220911
"150","2",33.5506344831537,6.67316934838368,26.3405914059888
"0","3",30.7260410878413,3.39409237721886,24.4000828633221
"5","3",30.7719338598454,3.35229049060263,24.4391765042446
"10","3",30.780618991241,3.4121734172645,24.4414188487185
"15","3",30.7877473678321,3.50314043830851,24.4414304256725
"20","3",30.8231817524062,3.62460299890607,24.4589001376022
"25","3",30.8488803951049,3.70472383511734,24.4704713717772
"30","3",30.8804267405058,3.80293214672767,24.4884534042584
"35","3",30.9262985919755,3.89279380177536,24.518627151908
"40","3",31.0145824064398,3.99687039054667,24.5791875067177
"45","3",31.150672883744,4.13758470711137,24.6786107232814
"50","3",31.2769506967251,4.13520005728784,24.7748350158819
"55","3",31.4001059322189,4.01262554021534,24.8846275159174
"60","3",31.5488999243696,3.9761938227269,25.0122362590323
"65","3",31.7037601346121,3.93341804940171,25.1409112724925
"70","3",31.8672739389086,3.99725418950416,25.2639412596177
"75","3",31.993933851726,3.96531872660621,25.3756296336899
"80","3",32.1088220076018,3.93363144978889,25.4759141403091
"85","3",32.218293066648,3.99634663288215,25.5600225258454
"90","3",32.3184206574463,4.11804103935434,25.6348853249473
"95","3",32.4324848021,4.20841425619601,25.7190817407243
"100","3",32.5371754929373,4.34644063684866,25.790301031541
"105","3",32.6399822891218,4.49027310818811,25.8550390066864
"110","3",32.7352714136048,4.63684113214029,25.9137726581038
"115","3",32.8448985816421,4.83016227304066,25.9756407948813
"120","3",32.9446931168088,5.08529367127343,26.028724161739
"125","3",33.0453386668755,5.31558919414278,26.0820215024122
"130","3",33.1511669074287,5.52478382794334,26.1374417272728
"135","3",33.2574217153211,5.8148594244612,26.1913784372973
"140","3",33.3681412726541,6.17872950463791,26.2477418148896
"145","3",33.4800572270864,6.38884555675986,26.3081757797388
"150","3",33.5506894323953,6.68485424023695,26.3399755415116
"0","4",30.7316692840692,3.2934950672935,24.4132468171441
"5","4",30.7784930547518,3.25618606331155,24.4527835364612
"10","4",30.7869187744835,3.31597897120105,24.4547053801379
"15","4",30.7936657627275,3.40761559276261,24.454244606335
"20","4",30.8287521898203,3.52962863140796,24.4714137597364
"25","4",30.8541282623974,3.61138726882035,24.4827728742497
"30","4",30.8857984207118,3.71234028416811,24.5006663162924
"35","4",30.9316889940029,3.80400851843864,24.5307013855214
"40","4",31.0188486596272,3.9113033221156,24.5902903370696
"45","4",31.1532975472388,4.05639054484979,24.688004565161
